ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
1080	Arab National Bank	Banks	18	40	8.3	20.79	0.2%	-7.8%	-1.7%	down:12,2	down:50,2	up:372,182	92	24.9%	182	-	163	27%	-	+76%	-56%
4330	Riyad REIT Fund	REITs	182	260	-	4.92	-2.6%	-3.5%	-6.5%	down:6,*	down:569,*	down:692,*	258	11.4%	965	All-Time Low	162	0%	-	+76%	-38%
2150	The National Company for Glass Industries	Materials	154	155	15.1	35.92	-0.3%	-3.7%	-18.7%	down:29,13	down:273,87	flat	163	22.9%	371	-	155	33%	-	+37%	-43%
1832	Sadr Logistics Co.	Commercial & Professional Svc	230	150	-	2.61	-5.1%	-3.0%	-9.4%	down:6,5	down:415,87	down:395,87	263	16.9%	1139	-	145	47%	-	+33%	+41%
6090	Jazan Development and Investment Co.	Food & Beverages	233	250	-	8.2	-2.8%	-8.4%	-23.3%	flat	down:479,91	down:856,91	201	36.6%	578	-	140	43%	-	-65%	+197%
8260	Gulf General Cooperative Insurance Co.	Insurance	269	242	-	3.87	-2.0%	-2.3%	-29.5%	flat	down:479,67	down:925,67	195	42.1%	544	-	103	45%	-	-34%	-35%
4180	Fitaihi Holding Group	Consumer Durables & Apparel	199	195	253.0	2.46	-0.4%	-8.2%	-28.7%	flat	down:271,87	down:122,87	192	40.2%	371	-	94	28%	-	-41%	+50%
4141	Al-Omran Industrial Trading Co.	Capital Goods	258	238	-	20.71	-6.3%	-8.8%	-23.3%	down:1,*	down:347,36	down:491,36	267	56.9%	1248	-	94	24%	-	-52%	+171%
1835	Tamkeen Human Resource Co.	Commercial & Professional Svc	156	178	12.4	47.6	3.8%	2.6%	-14.4%	up:2,1	down:154,67	flat	63	30.5%	404	-	93	83%	-	+69%	+2%
1810	Seera Group Holding	Consumer Services	73	101	-	21.74	3.2%	-5.4%	-15.3%	flat	down:84,79	flat	110	45.0%	184	-	91	49%	-	+17%	-15%
2140	AYYAN Investment Co.	Health Care Equipment & Svc	171	194	-	10.79	-3.3%	-3.4%	-21.8%	down:5,4	down:306,77	down:306,77	246	27.9%	587	-	88	47%	-	-36%	+17%
4150	Arriyadh Development Co.	Real Estate Mgmt & Dev't	92	156	14.3	18.38	2.7%	-2.2%	-41.3%	flat	down:157,88	flat	112	84.7%	363	-	86	51%	-	+46%	+83%
2284	Modern Mills for Food Products Co.	Food & Beverages	120	212	10.2	28.64	-0.3%	-1.0%	-12.8%	flat	down:261,89	flat	115	24.7%	495	-	85	53%	-	+9%	-23%
2120	Saudi Advanced Industries Co.	Financial Services	176	167	-	16.48	-3.6%	-4.2%	-40.3%	flat	down:336,87	down:202,87	196	67.5%	558	-	75	44%	-	+5%	+74%
2090	National Gypsum Co.	Materials	222	219	-	14.06	-5.3%	-5.6%	-35.6%	down:2,*	down:484,87	down:647,87	231	56.5%	558	-	72	11%	-	-73%	+123%
4191	Abdullah Saad Mohammed Abo Moati for Bookstores Co.	Consumer Discretionary Distribution & Retail	183	82	38.2	44.3	3.3%	-2.6%	15.0%	flat	up:1,*	up:356,177	12	18.3%	177	-	72	67%	-	+85%	-33%
8200	Saudi Reinsurance Co.	Insurance	95	93	29.0	26.7	3.5%	-0.7%	-16.8%	up:2,1	down:127,87	up:1412,376	25	31.7%	376	-	70	59%	-	-19%	-19%
4337	AL AZIZIAH REIT Fund	REITs	251	262	-	5.06	-0.8%	-5.1%	17.7%	down:1,*	up:99,70	flat	52	9.3%	70	-	58	16%	-	-78%	+80%
4018	Almoosa Health Co.	Health Care Equipment & Svc	69	151	-	118.3	-0.6%	-17.7%	-30.1%	down:58,36	down:86,36	flat	148	69.1%	174	-	36	20%	-	-37%	-49%
4013	Dr. Sulaiman Al Habib Medical Services Group	Health Care Equipment & Svc	8	29	36.4	215.1	1.5%	-14.8%	-16.2%	down:57,13	down:163,13	flat	180	30.2%	593	-	33	51%	-	-23%	-33%
